"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\sim_logic\App.jsx", "JavaScript JSX", 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 566
"f:\Aero\AEROPS\sim_logic\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\Aero\AEROPS\sim_logic\assets\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\Aero\AEROPS\sim_logic\components\ControlPanel.jsx", "JavaScript JSX", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 296
"f:\Aero\AEROPS\sim_logic\components\MapView.jsx", "JavaScript JSX", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 177
"f:\Aero\AEROPS\sim_logic\components\MissionTimeline.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"f:\Aero\AEROPS\sim_logic\components\ResultPanel.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 121
"f:\Aero\AEROPS\sim_logic\data\airspaces.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"f:\Aero\AEROPS\sim_logic\data\equipment.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"f:\Aero\AEROPS\sim_logic\data\targets.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"f:\Aero\AEROPS\sim_logic\data\team.json", "JSON", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"f:\Aero\AEROPS\sim_logic\index.css", "PostCSS", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"f:\Aero\AEROPS\sim_logic\main.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"f:\Aero\AEROPS\sim_logic\utils\simulation.js", "JavaScript", 0, 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 725
"Total", "-", 1070, 638, 9439, 517, 42, 534, 6120, 691, 31, 4, 21, 1758, 488, 38, 2244, 23635
